Trigger type: http
Traces: 1000
 
Measured latencies:
26.0
23.0
27.0
31.0
27.0
15.0
15.0
31.0
20.0
26.0
32.0
16.0
28.0
37.0
15.0
17.0
16.0
33.0
16.0
66.0
27.0
21.0
35.0
9.0
31.0
24.0
23.0
65.0
29.0
28.0
13.0
25.0
38.0
31.0
16.0
26.0
23.0
18.0
20.0
25.0
21.0
33.0
23.0
20.0
17.0
22.0
21.0
13.0
20.0
16.0
29.0
32.0
25.0
24.0
16.0
28.0
21.0
23.0
28.0
21.0
16.0
21.0
27.0
21.0
23.0
27.0
21.0
36.0
76.0
21.0
22.0
25.0
19.0
31.0
34.0
15.0
34.0
38.0
44.0
25.0
25.0
23.0
15.0
32.0
26.0
16.0
43.0
25.0
17.0
25.0
24.0
35.0
18.0
12.0
25.0
58.0
25.0
35.0
24.0
30.0
30.0
27.0
40.0
18.0
18.0
45.0
18.0
21.0
54.0
26.0
28.0
35.0
33.0
20.0
16.0
28.0
21.0
23.0
45.0
20.0
35.0
22.0
26.0
34.0
27.0
24.0
27.0
28.0
27.0
16.0
26.0
22.0
27.0
31.0
28.0
24.0
38.0
36.0
21.0
51.0
13.0
23.0
26.0
33.0
34.0
19.0
18.0
22.0
26.0
34.0
30.0
32.0
18.0
28.0
23.0
28.0
31.0
21.0
31.0
32.0
44.0
51.0
41.0
19.0
12.0
19.0
17.0
22.0
21.0
35.0
41.0
29.0
17.0
21.0
17.0
36.0
32.0
24.0
3041.0
22.0
41.0
27.0
24.0
45.0
28.0
32.0
27.0
33.0
30.0
28.0
34.0
24.0
42.0
32.0
20.0
38.0
27.0
19.0
24.0
16.0
17.0
12.0
3027.0
27.0
14.0
21.0
12.0
35.0
26.0
18.0
15.0
23.0
30.0
25.0
29.0
20.0
20.0
23.0
22.0
28.0
19.0
26.0
16.0
21.0
17.0
17.0
25.0
21.0
18.0
17.0
14.0
31.0
29.0
14.0
14.0
30.0
15.0
26.0
25.0
37.0
29.0
80.0
39.0
563.0
27.0
18.0
45.0
31.0
25.0
31.0
26.0
27.0
16.0
37.0
27.0
37.0
11.0
22.0
31.0
25.0
20.0
13.0
42.0
15.0
45.0
13.0
24.0
16.0
23.0
25.0
23.0
32.0
22.0
27.0
20.0
18.0
20.0
6.0
29.0
20.0
25.0
19.0
34.0
34.0
17.0
47.0
29.0
3028.0
17.0
22.0
14.0
25.0
24.0
47.0
14.0
34.0
27.0
13.0
26.0
29.0
29.0
13.0
34.0
27.0
25.0
34.0
19.0
21.0
25.0
33.0
33.0
16.0
22.0
26.0
22.0
22.0
23.0
25.0
36.0
25.0
22.0
20.0
36.0
22.0
18.0
22.0
30.0
35.0
14.0
30.0
26.0
36.0
22.0
30.0
19.0
23.0
24.0
29.0
24.0
38.0
31.0
22.0
25.0
23.0
37.0
35.0
40.0
21.0
13.0
17.0
35.0
33.0
29.0
16.0
23.0
27.0
18.0
22.0
26.0
15.0
22.0
22.0
29.0
27.0
15.0
13.0
23.0
22.0
33.0
14.0
25.0
41.0
20.0
13.0
23.0
13.0
147.0
21.0
33.0
34.0
45.0
25.0
22.0
26.0
42.0
37.0
16.0
28.0
28.0
96.0
22.0
14.0
18.0
23.0
23.0
21.0
24.0
24.0
33.0
30.0
31.0
17.0
28.0
22.0
21.0
29.0
20.0
27.0
14.0
23.0
15.0
19.0
20.0
21.0
13.0
22.0
29.0
35.0
31.0
60.0
37.0
32.0
14.0
31.0
28.0
28.0
27.0
25.0
38.0
28.0
12.0
18.0
17.0
35.0
30.0
26.0
24.0
21.0
19.0
25.0
22.0
20.0
23.0
24.0
26.0
24.0
40.0
37.0
25.0
24.0
22.0
25.0
16.0
19.0
41.0
27.0
24.0
30.0
21.0
21.0
17.0
14.0
20.0
15.0
39.0
25.0
27.0
8.0
3029.0
21.0
25.0
30.0
34.0
29.0
21.0
30.0
21.0
26.0
44.0
11.0
16.0
20.0
42.0
22.0
37.0
13.0
16.0
32.0
35.0
37.0
21.0
27.0
23.0
26.0
25.0
21.0
26.0
21.0
41.0
41.0
23.0
32.0
22.0
35.0
6.0
14.0
14.0
22.0
25.0
22.0
30.0
24.0
22.0
24.0
22.0
22.0
33.0
35.0
26.0
24.0
26.0
28.0
34.0
17.0
22.0
24.0
21.0
24.0
21.0
15.0
38.0
20.0
22.0
22.0
38.0
19.0
17.0
28.0
16.0
12.0
16.0
31.0
89.0
29.0
103.0
27.0
24.0
23.0
25.0
15.0
13.0
27.0
13.0
17.0
26.0
27.0
97.0
25.0
27.0
28.0
16.0
22.0
32.0
12.0
15.0
29.0
24.0
18.0
20.0
23.0
27.0
17.0
30.0
27.0
33.0
19.0
16.0
21.0
27.0
37.0
11.0
27.0
25.0
26.0
24.0
25.0
25.0
12.0
24.0
24.0
23.0
18.0
23.0
20.0
24.0
25.0
26.0
23.0
23.0
27.0
29.0
32.0
23.0
18.0
26.0
25.0
24.0
32.0
25.0
35.0
12.0
26.0
34.0
15.0
206.0
17.0
13.0
39.0
14.0
30.0
20.0
29.0
15.0
23.0
19.0
19.0
29.0
29.0
25.0
27.0
32.0
27.0
20.0
17.0
37.0
21.0
25.0
32.0
21.0
12.0
25.0
35.0
6.0
27.0
31.0
26.0
40.0
16.0
22.0
47.0
28.0
42.0
32.0
16.0
19.0
18.0
22.0
16.0
39.0
61.0
20.0
26.0
19.0
38.0
29.0
21.0
95.0
21.0
37.0
41.0
34.0
28.0
32.0
25.0
20.0
31.0
26.0
22.0
29.0
32.0
21.0
25.0
35.0
30.0
16.0
26.0
29.0
33.0
32.0
22.0
25.0
22.0
19.0
22.0
27.0
27.0
21.0
18.0
37.0
34.0
26.0
17.0
31.0
20.0
35.0
29.0
49.0
20.0
37.0
38.0
19.0
30.0
25.0
28.0
19.0
22.0
17.0
17.0
19.0
28.0
32.0
40.0
16.0
16.0
32.0
29.0
21.0
33.0
15.0
27.0
32.0
20.0
31.0
26.0
18.0
27.0
20.0
19.0
42.0
18.0
23.0
51.0
26.0
79.0
23.0
26.0
23.0
44.0
13.0
19.0
25.0
35.0
25.0
16.0
34.0
59.0
34.0
15.0
22.0
21.0
17.0
32.0
22.0
41.0
14.0
21.0
29.0
16.0
15.0
26.0
15.0
21.0
21.0
18.0
26.0
25.0
24.0
21.0
30.0
20.0
23.0
30.0
16.0
14.0
26.0
18.0
30.0
32.0
31.0
35.0
22.0
24.0
20.0
34.0
15.0
40.0
20.0
28.0
46.0
42.0
32.0
17.0
39.0
38.0
32.0
28.0
27.0
29.0
15.0
23.0
21.0
25.0
21.0
24.0
21.0
30.0
12.0
19.0
16.0
31.0
23.0
16.0
39.0
26.0
26.0
17.0
11.0
13.0
27.0
19.0
29.0
23.0
22.0
30.0
22.0
17.0
39.0
24.0
24.0
27.0
100.0
18.0
